objectid,parentid,title,título,creator/creador,date/fecha,description,descripción,subject/sujeto,location/ ubicación,latitude,longitude,source,identifier,type,format,language/idoma,"rights and reproduction/ Uso y reproducción
",rightsstatement,display_template,object_location,object_transcript,filename,image_small,image_thumb
utblac_independentvoices_laguardia001,,,,La Guardia editorial board and corporate author,1970-10,,,,"Milwaukee, Wisconsin",43.04162246,-87.91112027,"Independent Voice, La Guardia, The University of Texas at Austin;https://www.jstor.org/action/doBasicSearch?Query=La+Guardia&so=rel",utblac_independentvoices_laguardia_vol.2_no.1_image,Text,image/JPG,eng/esp,"The University of Texas Libraries makes this electronic resource available solely for the purposes of research and teaching. Copyright holders retain intellectual property rights over this content, not the University of Texas. You must request formal permission from the copyright holder to republish this material. If you would like to republish this resource in print or electronically, please contact Benson Special Collections staff at bensonspecialcollections@austin.utexas.edu. —— Las Bibliotecas de la Universidad de Texas proveen acceso a este recurso electrónico únicamente con fines de investigación y enseñanza. Los titulares de derechos de autor conservan los derechos sobre este contenido, no la Universidad de Texas. Debe obtener un permiso formal del titular de los derechos de autor para volver a publicar este material. Si quisiera publicar en forma impresa o electrónica este recurso, por favor comuníquese con el personal de las Colecciones Especiales de la Benson por correo electrónico, bensonspecialcollections@austin.utexas.edu.",In Copyright - Educational Use Permitted / Protegido por Derecho de Autor - Uso Educativo Permitido (https://rightsstatements.org/page/InC-EDU/1.0/?language=en),image,/objects/utblac_independentvoices_laguardia_vol.2_no.1_image.JPG,,utblac_independentvoices_laguardia_vol.2_no.1_image,/objects/small/utblac_independentvoices_laguardia_vol.2_no.1_image_sm.jpg,/objects/thumbs/utblac_independentvoices_laguardia_vol.2_no.1_image_th.jpg
utblac_independentvoices_laguardia002,,,,La Guardia editorial board and corporate author,1970-10,,,,University of Wisconsin-Milwaukee,43.07839619,-87.88201152,"Independent Voice, La Guardia, The University of Texas at Austin;https://www.jstor.org/action/doBasicSearch?Query=La+Guardia&so=rel",utblac_independentvoices_laguardia_vol.2_no.1_luchandopormejoreducacion,Text,image/PNG,eng/esp,"The University of Texas Libraries makes this electronic resource available solely for the purposes of research and teaching. Copyright holders retain intellectual property rights over this content, not the University of Texas. You must request formal permission from the copyright holder to republish this material. If you would like to republish this resource in print or electronically, please contact Benson Special Collections staff at bensonspecialcollections@austin.utexas.edu. —— Las Bibliotecas de la Universidad de Texas proveen acceso a este recurso electrónico únicamente con fines de investigación y enseñanza. Los titulares de derechos de autor conservan los derechos sobre este contenido, no la Universidad de Texas. Debe obtener un permiso formal del titular de los derechos de autor para volver a publicar este material. Si quisiera publicar en forma impresa o electrónica este recurso, por favor comuníquese con el personal de las Colecciones Especiales de la Benson por correo electrónico, bensonspecialcollections@austin.utexas.edu.",In Copyright - Educational Use Permitted / Protegido por Derecho de Autor - Uso Educativo Permitido (https://rightsstatements.org/page/InC-EDU/1.0/?language=en),image,/objects/utblac_independentvoices_laguardia_vol.2_no.1_luchandopormejoreducacion.PNG,,utblac_independentvoices_laguardia_vol.2_no.1_luchandopormejoreducacion,/objects/small/utblac_independentvoices_laguardia_vol.2_no.1_luchandopormejoreducacion_sm.jpg,/objects/thumbs/utblac_independentvoices_laguardia_vol.2_no.1_luchandopormejoreducacion_th.jpg
utblac_independentvoices_laguardia003,,"La Guardia, Volume 2, Issue 1; The Hispanic Center ","La Guardia, Volumen 2, Emisión 1; El Centro Hispano","Valdez, Lalo ;  Moreno, Maia ;   Balderas, Polo ; Shalhoub,  Rico ; Saker,   Linda ;  Gutierrez, Jesse ;  Perez,Charlie ;   Stewart, Hollis ;  Shalhoub, Lucha S.;  Alvarez, Juan ;  Bejar, Jesus ;  Miller, Chuck ; Orellana, Patt Armando ;  Andres del ""East Side"", and  Rivas, Rudy",1970-10,"El Centro Hispano opened in 1964, staffed by volunteers, to serve the Spanish-speaking community of Milwaukee. They assisted people with job placement, housing, and English tutoring programs.","El Centro Hispano abrió en 1964, atendido por voluntarios, para servir a la comunidad de habla hispana de Milwaukee. Ayudaron a las personas con la colocación laboral, la vivienda y los programas de tutoría de inglés. ",Community centers  ; Centro comunitario ,"East Los Angeles, California",34.02264673,-118.1655142,"Independent Voice, La Guardia, The University of Texas at Austin;https://www.jstor.org/action/doBasicSearch?Query=La+Guardia&so=rel",utblac_independentvoices_laguardia_vol.2_no.1_pg.12,Text,image/JPG,eng/esp,"The University of Texas Libraries makes this electronic resource available solely for the purposes of research and teaching. Copyright holders retain intellectual property rights over this content, not the University of Texas. You must request formal permission from the copyright holder to republish this material. If you would like to republish this resource in print or electronically, please contact Benson Special Collections staff at bensonspecialcollections@austin.utexas.edu. —— Las Bibliotecas de la Universidad de Texas proveen acceso a este recurso electrónico únicamente con fines de investigación y enseñanza. Los titulares de derechos de autor conservan los derechos sobre este contenido, no la Universidad de Texas. Debe obtener un permiso formal del titular de los derechos de autor para volver a publicar este material. Si quisiera publicar en forma impresa o electrónica este recurso, por favor comuníquese con el personal de las Colecciones Especiales de la Benson por correo electrónico, bensonspecialcollections@austin.utexas.edu.",In Copyright - Educational Use Permitted / Protegido por Derecho de Autor - Uso Educativo Permitido (https://rightsstatements.org/page/InC-EDU/1.0/?language=en),image,/objects/utblac_independentvoices_laguardia_vol.2_no.1_pg.12.JPG,,utblac_independentvoices_laguardia_vol.2_no.1_pg.12,/objects/small/utblac_independentvoices_laguardia_vol.2_no.1_pg.12_sm.jpg,/objects/thumbs/utblac_independentvoices_laguardia_vol.2_no.1_pg.12_th.jpg
utblac_independentvoices_laguardia004,,"La Guardia, Volume 2, Issue 1; Race Yes War No!","La Guardia, Volumen 2, Emisión 1; ¡Raza Si Guerra No!","Valdez, Lalo ;  Moreno, Maia ;   Balderas, Polo ; Shalhoub,  Rico ; Saker,   Linda ;  Gutierrez, Jesse ;  Perez,Charlie ;   Stewart, Hollis ;  Shalhoub, Lucha S.;  Alvarez, Juan ;  Bejar, Jesus ;  Miller, Chuck ; Orellana, Patt Armando ;  Andres del ""East Side"", and  Rivas, Rudy",1970-10,"People from all over the country came to East Los Angeles to protest against the Vietnam war and the Chicano genocide. Many Chicanos were being drafted into the war, and dying. Before the speeches started at the park, the police came and started swinging their clubs. The bus service was cut off, so it would not be by the Chicano moratorium. People state that the police attacked, and a gas canister hit someone. About 197 people were arrested. ","Gente de todo el país vino al este de Los Ángeles para protestar contra la guerra de Vietnam y el genocidio chicano. Muchos chicanos estaban siendo reclutados para la guerra y estaban muriendo. Antes de que comenzaran los discursos en el parque, llegó la policía y comenzó a blandir sus garrotes. El servicio de buses fue cortado, por lo que no sería por la moratoria chicana. La gente dice que la policía atacó y una bombona de gas golpeó a alguien. Cerca de 197 personas fueron arrestadas.",Protests movements ; Movimientos de protesta ; Police violence ; Violencia policial ;,"Milwaukee, Wisconsin; El Centro Hispano",43.02356673,-87.91772086,"Independent Voice, La Guardia, The University of Texas at Austin;https://www.jstor.org/action/doBasicSearch?Query=La+Guardia&so=rel",utblac_independentvoices_laguardia_vol.2_no.1_pg.6,Text,image/JPG,eng/esp,"The University of Texas Libraries makes this electronic resource available solely for the purposes of research and teaching. Copyright holders retain intellectual property rights over this content, not the University of Texas. You must request formal permission from the copyright holder to republish this material. If you would like to republish this resource in print or electronically, please contact Benson Special Collections staff at bensonspecialcollections@austin.utexas.edu. —— Las Bibliotecas de la Universidad de Texas proveen acceso a este recurso electrónico únicamente con fines de investigación y enseñanza. Los titulares de derechos de autor conservan los derechos sobre este contenido, no la Universidad de Texas. Debe obtener un permiso formal del titular de los derechos de autor para volver a publicar este material. Si quisiera publicar en forma impresa o electrónica este recurso, por favor comuníquese con el personal de las Colecciones Especiales de la Benson por correo electrónico, bensonspecialcollections@austin.utexas.edu.",In Copyright - Educational Use Permitted / Protegido por Derecho de Autor - Uso Educativo Permitido (https://rightsstatements.org/page/InC-EDU/1.0/?language=en),image,/objects/utblac_independentvoices_laguardia_vol.2_no.1_pg.6.JPG,,utblac_independentvoices_laguardia_vol.2_no.1_pg.6,/objects/small/utblac_independentvoices_laguardia_vol.2_no.1_pg.6_sm.jpg,/objects/thumbs/utblac_independentvoices_laguardia_vol.2_no.1_pg.6_th.jpg
utblac_independentvoices_laguardia005,,"La Guardia, Volume 2, Issue 1; Students Celebrate Sept. 16","La Guardia, Volumen 2, Emisión 1; Estudiantes Celebran el 16 de Sep.","Valdez, Lalo ;  Moreno, Maia ;   Balderas, Polo ; Shalhoub,  Rico ; Saker,   Linda ;  Gutierrez, Jesse ;  Perez,Charlie ;   Stewart, Hollis ;  Shalhoub, Lucha S.;  Alvarez, Juan ;  Bejar, Jesus ;  Miller, Chuck ; Orellana, Patt Armando ;  Andres del ""East Side"", and  Rivas, Rudy",1970-10,"Mexican-American and Puerto Rican students walked out of school during Mexico's independence day. The Brown Berets and the teachers organized the walk-out to celebrate independence day, protest students' lack of education due to the school district, and empower Latine students. The Brown Berets set up speakers, performers, and food to provide entertainment and further students' knowledge about past and current issues.","Los estudiantes mexicano-estadounidenses y puertorriqueños salieron de la escuela durante el día de la independencia de México. Los Brown Berets y los maestros organizaron la marcha para celebrar el día de la independencia, protestar por la falta de educación de los estudiantes debido al distrito escolar y empoderar a los estudiantes latinos. Los Brown Berets instalaron oradores, artistas y comida para proporcionar entretenimiento y aumentar el conocimiento de los estudiantes sobre temas pasados y actuales.",Education ; Educacion ;High school education  ; Educación secundaria  ;  Protests movements ; Movimientos de protesta ; Social activists ; ,"Milwaukee, Wisconsin; Mitchell Street",43.01215186,-87.9244542,"Independent Voice, La Guardia, The University of Texas at Austin;https://www.jstor.org/action/doBasicSearch?Query=La+Guardia&so=rel",utblac_independentvoices_laguardia_vol.2_no.1_pg3,Text,image/JPG,eng/esp,"The University of Texas Libraries makes this electronic resource available solely for the purposes of research and teaching. Copyright holders retain intellectual property rights over this content, not the University of Texas. You must request formal permission from the copyright holder to republish this material. If you would like to republish this resource in print or electronically, please contact Benson Special Collections staff at bensonspecialcollections@austin.utexas.edu. —— Las Bibliotecas de la Universidad de Texas proveen acceso a este recurso electrónico únicamente con fines de investigación y enseñanza. Los titulares de derechos de autor conservan los derechos sobre este contenido, no la Universidad de Texas. Debe obtener un permiso formal del titular de los derechos de autor para volver a publicar este material. Si quisiera publicar en forma impresa o electrónica este recurso, por favor comuníquese con el personal de las Colecciones Especiales de la Benson por correo electrónico, bensonspecialcollections@austin.utexas.edu.",In Copyright - Educational Use Permitted / Protegido por Derecho de Autor - Uso Educativo Permitido (https://rightsstatements.org/page/InC-EDU/1.0/?language=en),image,/objects/utblac_independentvoices_laguardia_vol.2_no.1_pg3.JPG,,utblac_independentvoices_laguardia_vol.2_no.1_pg3,/objects/small/utblac_independentvoices_laguardia_vol.2_no.1_pg3_sm.jpg,/objects/thumbs/utblac_independentvoices_laguardia_vol.2_no.1_pg3_th.jpg
utblac_independentvoices_laguardia006,,"La Guardia, Volume 2, Issue 1; Who Makes it to the University? ","La Guardia, Volumen 2, Emisión 1; ¿Quiénes van a la universidad?","Valdez, Lalo ;  Moreno, Maia ;   Balderas, Polo ; Shalhoub,  Rico ; Saker,   Linda ;  Gutierrez, Jesse ;  Perez,Charlie ;   Stewart, Hollis ;  Shalhoub, Lucha S.;  Alvarez, Juan ;  Bejar, Jesus ;  Miller, Chuck ; Orellana, Patt Armando ;  Andres del ""East Side"", and  Rivas, Rudy",1970-10,"Latine populated Milwaukee High Schools like South Division and Lincoln High are high drop-out rates. The article urges a change of curriculum in these schools to reduce drop-outs, job retention, and increase college applicants. ","Las escuelas secundarias de Milwaukee pobladas por latinos, como South Division y Lincoln High, tienen altas tasas de deserción. El artículo insta a un cambio de plan de estudios en estas escuelas para reducir la deserción, la retención de empleos y aumentar los solicitantes universitarios.",Education ; Educacion ;High school education  ; Educación secundaria  ;  Protests movements ; Movimientos de protesta,University of Wisconsin-Milwaukee,43.07839619,-87.88201152,"Independent Voice, La Guardia, The University of Texas at Austin;https://www.jstor.org/action/doBasicSearch?Query=La+Guardia&so=rel",utblac_independentvoices_laguardia_vol.2_no.1_pg4,Text,image/JPG,eng/esp,"The University of Texas Libraries makes this electronic resource available solely for the purposes of research and teaching. Copyright holders retain intellectual property rights over this content, not the University of Texas. You must request formal permission from the copyright holder to republish this material. If you would like to republish this resource in print or electronically, please contact Benson Special Collections staff at bensonspecialcollections@austin.utexas.edu. —— Las Bibliotecas de la Universidad de Texas proveen acceso a este recurso electrónico únicamente con fines de investigación y enseñanza. Los titulares de derechos de autor conservan los derechos sobre este contenido, no la Universidad de Texas. Debe obtener un permiso formal del titular de los derechos de autor para volver a publicar este material. Si quisiera publicar en forma impresa o electrónica este recurso, por favor comuníquese con el personal de las Colecciones Especiales de la Benson por correo electrónico, bensonspecialcollections@austin.utexas.edu.",In Copyright - Educational Use Permitted / Protegido por Derecho de Autor - Uso Educativo Permitido (https://rightsstatements.org/page/InC-EDU/1.0/?language=en),image,/objects/utblac_independentvoices_laguardia_vol.2_no.1_pg4.JPG,,utblac_independentvoices_laguardia_vol.2_no.1_pg4,/objects/small/utblac_independentvoices_laguardia_vol.2_no.1_pg4_sm.jpg,/objects/thumbs/utblac_independentvoices_laguardia_vol.2_no.1_pg4_th.jpg
utblac_independentvoices_laguardia007,,"La Guardia, Volume 2, Issue 1; How La Raza Unida Party is changing Crystal City","La Guardia, Volumen 2, Emisión 1; Cómo el Partido La Raza Unida está cambiando Crystal City","Valdez, Lalo ;  Moreno, Maia ;   Balderas, Polo ; Shalhoub,  Rico ; Saker,   Linda ;  Gutierrez, Jesse ;  Perez,Charlie ;   Stewart, Hollis ;  Shalhoub, Lucha S.;  Alvarez, Juan ;  Bejar, Jesus ;  Miller, Chuck ; Orellana, Patt Armando ;  Andres del ""East Side"", and  Rivas, Rudy",1970-10,"The school board in Crystal, Texas, incorporated changes to help the Chicano community. The La Raza Unida Party led these changes, which were the adaptations that included bilingual education for kindergarten through third grade, the stop of IQ and English Proficiency test, and more."," La junta escolar en Crystal, Texas, incorporó cambios para ayudar a la comunidad chicana. El Partido La Raza Unida ayudo en estos cambios, que fueron las adecuaciones que incluyeron educación bilingüe desde kínder hasta tercer grado, la suspensión de las pruebas de coeficiente intelectual y dominio del inglés, y más.",Education ; Educacion ; Social activists ; activistas sociales,"Crystal City, Texas",28.67748754,-99.82645959,"Independent Voice, La Guardia, The University of Texas at Austin;https://www.jstor.org/action/doBasicSearch?Query=La+Guardia&so=rel",utblac_independentvoices_laguardia_vol.2_no.1_pg5,Text,image/JPG,eng/esp,"The University of Texas Libraries makes this electronic resource available solely for the purposes of research and teaching. Copyright holders retain intellectual property rights over this content, not the University of Texas. You must request formal permission from the copyright holder to republish this material. If you would like to republish this resource in print or electronically, please contact Benson Special Collections staff at bensonspecialcollections@austin.utexas.edu. —— Las Bibliotecas de la Universidad de Texas proveen acceso a este recurso electrónico únicamente con fines de investigación y enseñanza. Los titulares de derechos de autor conservan los derechos sobre este contenido, no la Universidad de Texas. Debe obtener un permiso formal del titular de los derechos de autor para volver a publicar este material. Si quisiera publicar en forma impresa o electrónica este recurso, por favor comuníquese con el personal de las Colecciones Especiales de la Benson por correo electrónico, bensonspecialcollections@austin.utexas.edu.",In Copyright - Educational Use Permitted / Protegido por Derecho de Autor - Uso Educativo Permitido (https://rightsstatements.org/page/InC-EDU/1.0/?language=en),image,/objects/utblac_independentvoices_laguardia_vol.2_no.1_pg5.JPG,,utblac_independentvoices_laguardia_vol.2_no.1_pg5,/objects/small/utblac_independentvoices_laguardia_vol.2_no.1_pg5_sm.jpg,/objects/thumbs/utblac_independentvoices_laguardia_vol.2_no.1_pg5_th.jpg
utblac_independentvoices_laguardia008,,"La Guardia, Volume 2, Issue 1; Boriquen Students Unite!","La Guardia, Volumen 2, Emisión 1; ¡Estudiantes boriqueños se unen!","Valdez, Lalo ;  Moreno, Maia ;   Balderas, Polo ; Shalhoub,  Rico ; Saker,   Linda ;  Gutierrez, Jesse ;  Perez,Charlie ;   Stewart, Hollis ;  Shalhoub, Lucha S.;  Alvarez, Juan ;  Bejar, Jesus ;  Miller, Chuck ; Orellana, Patt Armando ;  Andres del ""East Side"", and  Rivas, Rudy",1970-10,The Young Lords Party (YLP) organized a Puerto Rican conference at the Columbia University. The conference's goal is to empower and educate students and liberate Puerto Rico. It also led to the creation of Liberate Puerto Rico Committee in Milwaukee.,El Young Lords Party (YLP) organizó una conferencia puertorriqueña en la Universidad de Columbia. El objetivo de la conferencia es empoderar y educar a los estudiantes y liberar a Puerto Rico. También condujo a la creación del Comité Liberen a Puerto Rico en Milwaukee.,Conference ; conference ; Higher education ; Enseñanza superior ; Puerto Ricans ; Puertorriqueños ; Social activists ,"Plaza Borinqueña; South Bronx, New York",40.81804586,-73.92097048,"Independent Voice, La Guardia, The University of Texas at Austin;https://www.jstor.org/action/doBasicSearch?Query=La+Guardia&so=rel",utblac_independentvoices_laguardia_vol.2_no.1_pg9,Text,image/JPG,eng/esp,"The University of Texas Libraries makes this electronic resource available solely for the purposes of research and teaching. Copyright holders retain intellectual property rights over this content, not the University of Texas. You must request formal permission from the copyright holder to republish this material. If you would like to republish this resource in print or electronically, please contact Benson Special Collections staff at bensonspecialcollections@austin.utexas.edu. —— Las Bibliotecas de la Universidad de Texas proveen acceso a este recurso electrónico únicamente con fines de investigación y enseñanza. Los titulares de derechos de autor conservan los derechos sobre este contenido, no la Universidad de Texas. Debe obtener un permiso formal del titular de los derechos de autor para volver a publicar este material. Si quisiera publicar en forma impresa o electrónica este recurso, por favor comuníquese con el personal de las Colecciones Especiales de la Benson por correo electrónico, bensonspecialcollections@austin.utexas.edu.",In Copyright - Educational Use Permitted / Protegido por Derecho de Autor - Uso Educativo Permitido (https://rightsstatements.org/page/InC-EDU/1.0/?language=en),image,/objects/utblac_independentvoices_laguardia_vol.2_no.1_pg9.JPG,,utblac_independentvoices_laguardia_vol.2_no.1_pg9,/objects/small/utblac_independentvoices_laguardia_vol.2_no.1_pg9_sm.jpg,/objects/thumbs/utblac_independentvoices_laguardia_vol.2_no.1_pg9_th.jpg
utblac_independentvoices_laguardia009,,"La Guardia, Volume 2, Issue 3; Police Violence Thwarted, 2nd Peaceful March ","La Guardia, Volumen 2, Emisión 3; Violencia policial frustrada, 2ª Marcha Pacífica","Villarreal, Ricardo (Kiki) ; Valdez, Lalo ; Jr. Hall, Roy A. ;Guzior, Loyd ; Rodriguez, Maria ; Gomez, Patricia ; Hernández, Roberto ; Gonzalez,Santa ; Martínez, Estevan ; Báez, Tony ; Zamudio, Berta ; Enríquez, Jean ; Enríquez, Ricardo",1971-03,"Protestors, specifically from the Latin American Union for Civil Rights (LAUCR), protested in support of Ernesto Chacon and Jose Puente. LAUCR made sure it was a peaceful march by speaking to the mayor. The march was against police violence, which occurred in a previous protest ending with Chacon and Puente imprisoned.","Manifestantes, específicamente de la Unión Latinoamericana por los Derechos Civiles (LAUCR), protestaron en apoyo a Ernesto Chacón y José Puente. LAUCR se aseguró de que fuera una marcha pacífica hablando con el alcalde. La marcha fue en contra de la violencia policial, que ocurrió en una protesta anterior que terminó con Chacón y Puente encarcelados.",Protests movements ; Movimientos de protesta ; Police violence ; Violencia policial ;,"Milwaukee, Wisconsin",43.04162246,-87.91112027,"Independent Voice, La Guardia, The University of Texas at Austin;https://www.jstor.org/action/doBasicSearch?Query=La+Guardia&so=rel",utblac_independentvoices_laguardia_vol.2_no.3_pg.2,Text,image/jpg,eng/esp,"The University of Texas Libraries makes this electronic resource available solely for the purposes of research and teaching. Copyright holders retain intellectual property rights over this content, not the University of Texas. You must request formal permission from the copyright holder to republish this material. If you would like to republish this resource in print or electronically, please contact Benson Special Collections staff at bensonspecialcollections@austin.utexas.edu. —— Las Bibliotecas de la Universidad de Texas proveen acceso a este recurso electrónico únicamente con fines de investigación y enseñanza. Los titulares de derechos de autor conservan los derechos sobre este contenido, no la Universidad de Texas. Debe obtener un permiso formal del titular de los derechos de autor para volver a publicar este material. Si quisiera publicar en forma impresa o electrónica este recurso, por favor comuníquese con el personal de las Colecciones Especiales de la Benson por correo electrónico, bensonspecialcollections@austin.utexas.edu.",In Copyright - Educational Use Permitted / Protegido por Derecho de Autor - Uso Educativo Permitido (https://rightsstatements.org/page/InC-EDU/1.0/?language=en),image,/objects/utblac_independentvoices_laguardia_vol.2_no.3_pg.2.jpg,,utblac_independentvoices_laguardia_vol.2_no.3_pg.2,/objects/small/utblac_independentvoices_laguardia_vol.2_no.3_pg.2_sm.jpg,/objects/thumbs/utblac_independentvoices_laguardia_vol.2_no.3_pg.2_th.jpg
utblac_independentvoices_laguardia010,,,,La Guardia editorial board and corporate author,1971-03,,,,The United Spot; Milwaukee Wisconsin,43.02080745,-87.9220658,"Independent Voice, La Guardia, The University of Texas at Austin;https://www.jstor.org/action/doBasicSearch?Query=La+Guardia&so=rel",utblac_independentvoices_laguardia_vol.2_no.3_pg.5,Text,image/jpg,eng/esp,"The University of Texas Libraries makes this electronic resource available solely for the purposes of research and teaching. Copyright holders retain intellectual property rights over this content, not the University of Texas. You must request formal permission from the copyright holder to republish this material. If you would like to republish this resource in print or electronically, please contact Benson Special Collections staff at bensonspecialcollections@austin.utexas.edu. —— Las Bibliotecas de la Universidad de Texas proveen acceso a este recurso electrónico únicamente con fines de investigación y enseñanza. Los titulares de derechos de autor conservan los derechos sobre este contenido, no la Universidad de Texas. Debe obtener un permiso formal del titular de los derechos de autor para volver a publicar este material. Si quisiera publicar en forma impresa o electrónica este recurso, por favor comuníquese con el personal de las Colecciones Especiales de la Benson por correo electrónico, bensonspecialcollections@austin.utexas.edu.",In Copyright - Educational Use Permitted / Protegido por Derecho de Autor - Uso Educativo Permitido (https://rightsstatements.org/page/InC-EDU/1.0/?language=en),image,/objects/utblac_independentvoices_laguardia_vol.2_no.3_pg.5.jpg,,utblac_independentvoices_laguardia_vol.2_no.3_pg.5,/objects/small/utblac_independentvoices_laguardia_vol.2_no.3_pg.5_sm.jpg,/objects/thumbs/utblac_independentvoices_laguardia_vol.2_no.3_pg.5_th.jpg
